card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FHHDBECHA,2018-09-01 07:22:19,地铁出站,190,200,263025117,地铁五号线,民治,OGT-117,0,2018-09-01 00:00:00
FHGGIJDCG,2018-09-01 07:22:35,地铁入站,0,0,263026111,地铁五号线,五和,IGT-111,0,2018-09-01 00:00:00
CBFIBIADA,2018-09-01 07:22:32,地铁出站,340,400,263032124,地铁五号线,布吉,AGT-124,1,2018-09-01 00:00:00
CCAJAHGEF,2018-09-01 07:22:09,地铁入站,0,0,263031111,地铁五号线,长龙,IGT-111,0,2018-09-01 00:00:00
FHGIGACIJ,2018-09-01 07:22:44,地铁出站,285,300,263021110,地铁五号线,大学城,OGT-110,0,2018-09-01 00:00:00
CCJFIEEGA,2018-09-01 07:22:13,地铁入站,0,0,263035103,地铁五号线,太安,IGT-103,0,2018-09-01 00:00:00
FHICADEAB,2018-09-01 07:22:38,地铁出站,380,400,263021107,地铁五号线,大学城,OGT-107,0,2018-09-01 00:00:00
FIJGDCDIE,2018-09-01 07:22:39,地铁入站,0,0,263026113,地铁五号线,五和,IGT-113,0,2018-09-01 00:00:00
BICJCBJAI,2018-09-01 07:23:21,地铁入站,0,0,261017108,地铁三号线,草埔,AGM-108,0,2018-09-01 00:00:00
FIJFCCIJG,2018-09-01 07:23:27,地铁入站,0,0,261030102,地铁三号线,龙城广场,AGM-102,0,2018-09-01 00:00:00
FFGCABFBH,2018-09-01 07:23:33,地铁入站,0,0,261021102,地铁三号线,丹竹头,AGM-102,0,2018-09-01 00:00:00
CFAJGJFBG,2018-09-01 07:24:11,地铁入站,0,0,261021116,地铁三号线,丹竹头,AGM-116,0,2018-09-01 00:00:00
FIACAAIDF,2018-09-01 07:16:24,地铁出站,435,500,241018105,地铁十一号线,碧海湾站,OGT-105,1,2018-09-01 00:00:00
BIHIJIFGI,2018-09-01 07:18:01,地铁出站,285,300,265028122,地铁七号线,赤尾,宽AGM24-25,0,2018-09-01 00:00:00
CFACCJBBG,2018-09-01 07:16:44,地铁入站,0,0,241024108,地铁十一号线,马鞍山,IGT-108,0,2018-09-01 00:00:00
FHFDGHIGI,2018-09-01 07:18:38,地铁入站,0,0,241022109,地铁十一号线,桥头站,IGT-109,0,2018-09-01 00:00:00
FHFEEGDJG,2018-09-01 07:18:46,地铁出站,285,300,241022103,地铁十一号线,桥头站,OGT-103,0,2018-09-01 00:00:00
FHIGBDABB,2018-09-01 07:18:37,地铁入站,0,0,265025109,地铁七号线,福民,双AGM13-14,0,2018-09-01 00:00:00
BCDIDDFA,2018-09-01 07:17:19,地铁出站,285,300,241025102,地铁十一号线,沙井,OGT-102,0,2018-09-01 00:00:00
FHEHDIDGF,2018-09-01 07:15:55,地铁出站,380,400,267030119,地铁九号线,人民南,双AGM-119,0,2018-09-01 00:00:00
CBAADBDDB,2018-09-01 07:17:43,地铁出站,190,200,265032112,地铁七号线,黄木岗,双AGM17-18,0,2018-09-01 00:00:00
FFGAJCBJH,2018-09-01 07:21:16,地铁入站,0,0,241015108,地铁十一号线,南山站,IGT-108,0,2018-09-01 00:00:00
BIDDCEFHH,2018-09-01 07:21:36,地铁入站,0,0,241015129,地铁十一号线,南山站,IGT-129,0,2018-09-01 00:00:00
CBGDGGGIJ,2018-09-01 07:19:43,地铁入站,0,0,260029122,地铁二号线,,,0,2018-09-01 00:00:00
FHGBJJBAH,2018-09-01 07:20:21,地铁出站,190,200,260029105,地铁二号线,景田,AGT-105,0,2018-09-01 00:00:00
BIDAAECCD,2018-09-01 07:17:15,地铁入站,0,0,260029102,地铁二号线,景田,IGT-102,0,2018-09-01 00:00:00
BEBJFBHJI,2018-09-01 07:21:34,地铁出站,300,600,241015120,地铁十一号线,南山站,OGT-120,0,2018-09-01 00:00:00
BICDBCBJB,2018-09-01 07:20:12,地铁入站,0,0,260029103,地铁二号线,景田,IGT-103,0,2018-09-01 00:00:00
FFGFBBIAB,2018-09-01 07:19:28,地铁出站,380,400,262012117,地铁四号线,龙华,AGM-117,0,2018-09-01 00:00:00
FHGDDFIJA,2018-09-01 07:11:26,地铁出站,570,600,262016102,地铁四号线,深圳北站,AGM-102,0,2018-09-01 00:00:00
