favorites	genres	type	episodes	year
continuous	string	Movie Music ONA OVA PV Special TV TV\ Special	1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 20.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 30.0 33.0 36.0 37.0 39.0 40.0 43.0 47.0 48.0 50.0 51.0 52.0 54.0 59.0 62.0 64.0 70.0 74.0 75.0 77.0 78.0 79.0 94.0 96.0 99.0 101.0 110.0 112.0 120.0 148.0 175.0 201.0 209.0 237.0 291.0 500.0	1970.0 1979.0 1980.0 1986.0 1989.0 1990.0 1992.0 1993.0 1995.0 1996.0 1997.0 1998.0 1999.0 2000.0 2002.0 2003.0 2004.0 2005.0 2006.0 2007.0 2008.0 2009.0 2010.0 2011.0 2012.0 2013.0 2014.0 2015.0 2016.0 2017.0 2018.0 2019.0 2020.0 2021.0 2022.0 2023.0 2024.0 2025.0 2026.0
class	meta			
77	Action, Adventure, Comedy, Drama, Mystery, Sci-Fi, Supernatural	ONA	10.0	
92	Sports	Movie	1.0	
695	Comedy	TV	11.0	2014.0
6586	Boys Love	Movie	1.0	
55	Action, Comedy, Sci-Fi	Special	1.0	
10368	Action, Comedy, Romance	TV	94.0	1996.0
14221	Award Winning, Mystery, Sci-Fi, Suspense	Movie	1.0	
13303	Award Winning, Drama, Romance, Supernatural	Movie	1.0	
83	Horror, Mystery, Supernatural, Suspense	Movie	1.0	
1532	Action, Adventure, Fantasy	TV	25.0	2024.0
5190	Action, Comedy, Fantasy	TV	12.0	2023.0
476	Sci-Fi, Suspense	TV Special	1.0	
1941	Comedy, Sci-Fi	TV	13.0	2014.0
22959	Action, Adventure, Fantasy	TV	24.0	2019.0
11936	Slice of Life	TV	12.0	2018.0
6249	Award Winning, Comedy, Drama	TV	24.0	2014.0
10846	Suspense	TV	26.0	2007.0
837	Action, Adventure, Drama, Fantasy, Romance	OVA	3.0	
4805	Adventure, Award Winning, Fantasy	Movie	1.0	
31141	Adventure, Comedy	TV	24.0	2019.0
34400	Action, Fantasy	TV	13.0	2011.0
10550	Award Winning, Drama, Romance, Supernatural	Movie	1.0	
1231	Adventure, Comedy	TV	12.0	2025.0
230	Action, Adventure, Comedy, Drama, Mystery	ONA	10.0	
1910	Action, Adventure, Fantasy	TV	11.0	2023.0
110	Action, Adventure, Fantasy, Romance	ONA	24.0	
4986	Comedy, Romance	TV	23.0	2007.0
9212	Adventure, Award Winning, Supernatural	Movie	1.0	
234	Sports	OVA	1.0	
277	Sports	TV Special	1.0	
260	Action, Adventure, Fantasy	OVA	14.0	
1027	Action, Adventure	TV	12.0	2018.0
3010	Suspense	TV	26.0	2011.0
3842	Comedy, Romance, Supernatural	TV	12.0	2015.0
22410	Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense	TV	25.0	2012.0
3051	Action, Adventure	Movie	1.0	
1290	Action, Sci-Fi	TV	14.0	2021.0
11978	Adventure, Comedy, Fantasy	TV	10.0	2017.0
2977	Action, Adventure, Award Winning, Drama, Fantasy, Romance	Movie	1.0	
1660	Action, Mystery, Supernatural	Movie	1.0	
4100	Award Winning, Drama, Romance, Sci-Fi	TV	26.0	2003.0
5421	Adventure, Supernatural	Movie	1.0	
415	Drama	TV	13.0	2021.0
8529	Adventure, Mystery, Sci-Fi, Slice of Life	TV	12.0	2017.0
67	Adventure, Comedy, Mystery	TV Special	1.0	
75115	Drama, Fantasy, Suspense	TV	25.0	2016.0
2572	Action, Adventure, Supernatural	TV	12.0	2026.0
1249	Action, Fantasy	Movie	1.0	
220	Slice of Life	Movie	1.0	
1701	Award Winning, Drama	Movie	1.0	
1744	Drama, Sci-Fi	TV	25.0	2016.0
14849	Comedy	TV	12.0	2012.0
50800	Drama, Romance, Supernatural	TV	13.0	2018.0
6678	Adventure, Award Winning, Comedy, Drama, Fantasy	Movie	1.0	
9662	Award Winning, Drama	TV	39.0	1997.0
5156	Action, Fantasy	TV	24.0	2025.0
44	Action, Adventure, Comedy, Fantasy	ONA	59.0	
1127	Drama	TV	13.0	2023.0
159	Action, Adventure, Fantasy	ONA		
6649	Action, Fantasy, Sci-Fi	TV	12.0	2024.0
3131	Award Winning, Drama	Movie	1.0	
3253	Fantasy	Movie	1.0	
417	Comedy, Romance	TV	11.0	2010.0
260	Suspense	Music		
983	Drama, Suspense	Movie	1.0	
18018	Action, Comedy, Fantasy	TV	20.0	2022.0
5691	Drama, Romance	Movie	1.0	
7356	Action	TV	25.0	2022.0
3016	Award Winning, Fantasy	Movie	1.0	
17494	Action, Adventure, Sci-Fi	TV	26.0	1998.0
1787	Action, Comedy	TV	13.0	2025.0
7643	Adventure, Mystery, Sci-Fi	TV	13.0	2023.0
6286	Comedy, Romance	TV	12.0	2023.0
108	Sports	Movie	1.0	
1688	Action, Adventure, Drama, Fantasy, Horror	Movie	1.0	
435	Comedy	TV Special	1.0	
18275	Adventure, Drama, Romance, Supernatural	TV	13.0	2008.0
603	Action, Comedy, Drama, Mystery	ONA	10.0	
2112	Drama, Romance	Special	4.0	
353	Sports	TV	26.0	2007.0
41952	Action, Adventure, Comedy, Fantasy	TV	291.0	1989.0
502	Award Winning, Comedy, Drama, Romance	Movie	1.0	
582	Comedy, Romance	TV	12.0	2026.0
4543	Romance	TV	12.0	2024.0
7808	Adventure, Drama, Fantasy, Ecchi	TV	12.0	2023.0
5084	Action, Mystery	TV	12.0	2019.0
81	Action, Mystery	Movie	1.0	
139	Comedy, Sci-Fi	Movie	1.0	
16180	Comedy, Romance	TV	13.0	2015.0
2307	Action, Adventure, Fantasy, Romance	TV	26.0	2009.0
1906	Comedy, Drama, Romance	TV	96.0	1986.0
4418	Sports	TV	25.0	2013.0
652	Comedy, Drama, Mystery, Supernatural	TV	13.0	2008.0
1438	Sports	TV	26.0	2004.0
18085	Drama, Romance, Supernatural	TV	25.0	2019.0
7662	Action, Comedy	TV	13.0	2022.0
3275	Comedy	TV	77.0	2011.0
5769	Slice of Life, Supernatural	TV	12.0	2021.0
7816	Action, Adventure, Fantasy	TV	25.0	2013.0
3556	Action, Adventure, Fantasy	Movie	1.0	
24	Action, Adventure, Fantasy	ONA	36.0	
4282	Romance	TV	12.0	2025.0
1496	Action, Award Winning	Movie	1.0	
7321	Comedy	TV	12.0	2018.0
348	Action	ONA	3.0	
80	Action, Adventure, Fantasy	TV Special	1.0	
915	Action, Sci-Fi	TV	13.0	2019.0
